Distrito;13660;1714866;1738288;2056009;2563986;1284868;3053021;3141727;2785251;4628173;4777959;6408401;7249376;8099011;1766434;9800520;11340614;7033920;11667662;8584829;5514970;4008643
Chamartín;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Distrito;13660;1714866;1738288;2056009;2563986;1284868;3053021;3141727;2785251;4628173;4777959;6408401;7249376;8099011;1766434;9800520;11340614;7033920;11667662;8584829;5514970;4008643;114340;1716726;1738846;1902834;1408525;447969;2638528;2678039;2999728;2773350;3244793;3591751;4068975;4522970;3917443;4674072;4778528;4974280;5031865;5084073;5577429;5997842;4790263;3331390;6832983;6730063;6774354;7062138;4043145;8631882;8724268;9243583;9525646;5675916;10668178;11262545;10037966;12202578;1888816;655088;4304796
Arganzuela;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2
Distrito;13660;1714866;1738288;2056009;2563986;1284868;3053021;3141727;2785251;4628173;4777959;6408401;7249376;8099011;1766434;9800520;11340614;7033920;11667662;8584829;5514970;4008643;114340;1716726;1738846;1902834;1408525;447969;2638528;2678039;2999728;2773350;3244793;3591751;4068975;4522970;3917443;4674072;4778528;4974280;5031865;5084073;5577429;5997842;4790263;3331390;6832983;6730063;6774354;7062138;4043145;8631882;8724268;9243583;9525646;5675916;10668178;11262545;10037966;12202578;101471;101653;132883;288380;303845;353616;391014;401552;368907;259229;487095;495849;534515;574498;557423;632589;650803;723539;816497;967721;749212;1004721;1008659;1031664;1168897;1174648;1367452;1373873;1370007;1406073;1466005;1478367;4677030;1596220;1598163;1702905;1713427;1721158;1722284;1694537;1703448;1836617;1868359;1892467;1981346;1973909;2068619;9934732;2107994;2134007;2160658;2201302;2296476;2302267;2307294;2322563;2332600;2367126;2433045;2436735;2467212;2480913;2501740;2517520;2538187;1150912;1652272;2576044;1134989;2613319;2569497;2619962;2659070;2659765;2713304;2740430;2779192;1689652;2857508;2902269;2267893;1567773;2174652;3121587;3290138;3235676;1375487;3432379;3466426;1941314;3544353;3021792;3648882;3689490;3691303;3698406;1954334;2555202;3746437;2172169;1566057;3771869;2236658;1735664;1625657;3951702;216570;3438657;3961468;690223;2670977;4012290;4032439;4036376;4053105;4069734;4112877;4118311;4128029;4161237;4180632;4181071;4203067;4277536;4286142;4295642;1341870;4280501;4354906;4410687;2489796;4433597;4424070;4247556;584351;2456671;3631892;2668849;2419618;4312150;4504807;4684397;4710774;4665174;4739098;4762305;4826927;4831338;4860266;4903694;1574604;4977367;5052379;5114074;1738341;5132742;4722486;5211661;2483139;6363695;5347216;4839698;5343904;5521269;5528551;5712665;5719307;5759904;5798033;571765;5824815;2214378;5869715;5896428;5918751;5918969;5950981;2228918;5941001;3612732;993166;6075016;6112385;6119221;6152491;6191686;5870563;641820;6270912;6284655;6284734;6412103;6436336;6443996;6483080;6636854;6711092;6598518;6749419;6818751;2067969;6844474;6282893;6928584;6944433;6871745;7049661;7149341;7153063;7170175;7201628;7223907;7302534;7306349;7394119;7375454;7395294;4147804;7420783;2741468;7552386;7595958;5633658;7751680;7820252;6019735;7850049;8125749;8130428;8192639;4229531;8385568;6816328;1666293;8532170;5790036;1973600;8578326;6271519;8607668;8807899;8608997;8879010;8933508;8983711;8986611;8996173;9042464;9137401;9145004;5537924;9172209;9210324;3488397;9244612;9277975;3661209;9290112;7129474;5883486;6915283;9551147;3275902;9597850;9643400;9644407;9696587;9699624;9548677;9738650;8276432;9790541;9872400;1985408;82175;9940609;9278712;5149901;1784424;10189139;9250119;10215430;4618994;10402340;10516522;10550853;8447678;10654623;6564220;7649063;2425848;927713;10916450;10974652;11116174;2662680;11152132;11342272;11407661;11479457;11385250;5002446;7739367;11650026;4615520;7331716;9805902;2933277;12027564;12077356;12105600;757672;12183135;12481365;12641432;7038627;11824804;10569881;12799099;12791313;12691164;1890653;13097473;13340216;9757922;13440901;13474925;13492658;13513088;13590063;4294898;13732037;13751801;13841663;1888816;655088;4304796;364585;499977;606925;805726;850654;852616;1130651;1496188;1522694;1650712;1713524;1791341;1719263;2376101;2847013;2960080;3017315;3214130;3540591;3898452;3983613;4305310;4084426;1331093;1714750;4582755;4735460;7218465;1470394;7489861;5500409;7823688;8789737;4231218;2444553;762655;2541550;1843216;3447304;845407;13569734;13742566;130907;5795235;605612;814490;927343;2184051;2561320;3606346;4292037;4211443;4975799;4361819;6072314;6566447;4190343;8647044;4023064;12028707;353738;378073;845399;877571;1095831;2044655;1091014;3797913;2991925;4083688;8705535;4068912;3048290;10651006;10940437;740087;1732442;2564339;2864064;3726732;534128;4599639;596469;901218;153391;4839888;5542111
Centro;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;6;6;6;6;12
